Source,Target,Weight
MY,IN,2441
MY,LK,7723
MY,MN,718
MY,LB,2176
MY,JO,1963
MY,MA,920
MY,AE,16542
MY,HK,22322
MY,DK,878
MY,LY,1716
MY,BW,937
MY,MR,793
MY,BJ,826
MY,KW,15523
MY,ET,860
MY,GN,1370
MY,MU,5640
MY,CA,1724
MY,BT,4484
MY,JP,3067
MY,LA,4254
MY,CH,1505
MY,GA,1193
MY,GH,1096
MY,CG,870
MY,DE,920
MY,KI,1333
MY,EG,1221
MY,AU,17134
MY,KR,4247
MY,GB,2732
MY,DJ,1799
MY,GM,1891
MY,IS,944
MY,GQ,2606
MY,CF,819
MY,IE,4498
MY,CY,4468
MY,KH,10859
MY,IT,967
MY,LR,1862
MY,KM,1002
MY,LU,945
MY,MT,2311
MY,AT,788
MY,GY,1009
RS,MU,1960
RS,FI,5140
RS,EE,4401
RS,MN,997
RS,LB,2717
RS,CM,921
RS,KG,953
RS,JO,1286
RS,BB,2120
RS,MG,1078
RS,JM,1623
RS,ML,868
RS,LY,1555
RS,BW,948
RS,ES,4057
RS,AM,1875
ZW,PT,1054
ZW,JM,10712
ZW,MR,3732
ZW,DZ,1358
ZW,ET,3690
ZW,NZ,12042
ZW,BE,1516
ZW,BF,7597
ZW,VU,1251
ZW,SA,1226
ZW,LY,977
ZW,GA,7111
ZW,SN,6510
ZW,NG,8856
ZW,CA,6718
ZW,HT,6018
ZW,CV,2661
ZW,CG,16087
ZW,LC,8657
ZW,CH,2614
ZW,BY,749
ZW,TD,4406
ZW,GH,18209
ZW,NE,7119
ZW,KE,17596
ZW,KI,1026
ZW,BN,830
ZW,SR,2120
ZW,BZ,3500
ZW,PG,4232
ZW,NO,2306
ZW,TG,14287
ZW,MV,2983
ZW,KW,1912
ZW,AU,16500
ZW,TO,4192
ZW,VC,5821
ZW,LU,2051
ZW,IE,16403
ZW,KM,3451
ZW,TT,3895
ZW,CF,8684
ZW,ML,9177
ZW,DE,3315
ZW,GM,9148
ZW,BS,4910
ZW,NL,2487
ZW,DJ,3746
ZW,PK,1351
ZW,GW,10389
ZW,SB,2281
ZW,MT,4049
ZW,CI,9270
ZW,CZ,841
ZW,WS,1643
ZW,AO,14818
ZW,SG,778
ZW,AT,1199
ZW,DO,1644
ZW,GY,5016
ZW,BH,6343
ZW,SE,2009
IS,BA,19809
IS,AG,3695
IS,BR,860
IS,GR,15567
IS,FJ,695
IS,GT,867
IS,BB,2555
IS,ES,18936
IS,AE,4846
IS,AM,1249
IS,HK,4070
IS,BI,813
IS,GM,15114
IS,CM,1057
IS,GN,2563
IS,HU,19102
IS,GA,813
IS,ET,1608
IS,FR,7156
IS,DJ,2202
IS,GD,2448
IS,BJ,860
IS,CL,2091
IS,BY,4032
IS,AR,1463
IS,AU,9455
IS,AZ,2131
IS,GE,11563
IS,CF,765
IS,CO,1557
IS,CA,11138
IS,EC,1611
IS,GH,4949
IS,HT,1121
IS,BZ,1628
IS,AL,18106
IS,CY,15526
IS,BE,19428
IS,CR,4397
IS,BN,4871
IS,CZ,21069
IS,GW,3669
IS,BG,15391
IS,BS,6015
IS,AO,1014
IS,GY,1843
IS,BH,3351
IS,DO,2225
IS,HN,1389
NZ,KR,7141
NZ,BA,1341
NZ,AG,5514
NZ,IN,4184
NZ,MU,8227
NZ,BR,1837
NZ,NO,8023
NZ,MW,1154
NZ,FI,6195
NZ,GR,2739
NZ,JO,1724
NZ,BB,6568
NZ,ES,3082
NZ,BW,2970
NZ,HR,4692
NZ,AE,16473
NZ,IT,3732
NZ,LR,971
NZ,HK,18258
NZ,LK,22689
NZ,BI,876
NZ,MM,970
NZ,GM,2539
NZ,BT,3551
NZ,MN,1147
NZ,HU,2796
NZ,EE,7057
NZ,ET,2016
NZ,FR,4803
NZ,KH,6950
NZ,LA,2561
BS,BF,2643
BS,AE,4932
BS,AU,3817
BS,BG,1709
BS,AO,3485
BS,AT,2560
BS,BH,3234
BJ,AG,4716
BJ,AE,5221
BJ,BA,2827
BJ,BB,3934
BJ,AM,756
BJ,BD,2648
BJ,AL,2543
BJ,AR,1618
BJ,BE,6753
BJ,AZ,2941
BJ,BG,2625
BJ,AT,2553
BJ,BH,2882
AM,AE,3836
AM,AL,989
GA,BO,767
GA,FI,756
GA,FJ,1275
GA,BZ,3283
GA,CY,6956
GA,ES,3559
GA,BR,1670
GA,AE,6324
GA,BB,2737
GA,DK,1003
GA,DZ,5720
GA,ET,2232
GA,AG,7939
GA,BN,820
GA,BS,4988
GA,CV,17486
GA,BE,11282
GA,EG,1560
GA,BY,1120
GA,AL,745
GA,BD,954
GA,CL,768
GA,EC,792
GA,CH,5690
GA,CA,4959
GA,CR,932
GA,DE,2756
GA,CO,905
GA,AZ,854
GA,AT,1105
GA,DO,5936
GA,BH,2491
MK,KI,2342
MK,BB,1331
MK,BZ,695
MK,JO,1311
MK,AE,6618
MK,GE,3472
MK,MA,1365
MK,BW,874
MK,HU,8372
MK,ES,3089
MK,HK,732
MK,CM,774
MK,KE,1191
MK,AG,3045
MK,DZ,1006
MK,BI,779
MK,FI,7183
MK,FR,6164
MK,AM,2113
MK,CA,6500
MK,GA,716
MK,DJ,1008
MK,EG,791
MK,CV,1251
MK,GD,1681
MK,AR,849
MK,BJ,2688
MK,LT,4485
MK,CG,805
MK,GH,1469
MK,LC,3259
MK,BY,7883
MK,LR,1386
MK,MD,5353
MK,JM,1885
MK,KW,2302
MK,KZ,1637
MK,KG,1534
MK,GB,10384
MK,EE,6479
MK,CY,16083
MK,GQ,2253
MK,CR,1010
MK,IS,14848
MK,LB,1663
MK,AZ,2693
MK,GM,2695
MK,CF,7310
MK,IE,4915
MK,BS,1103
MK,CI,884
MK,CZ,22431
MK,AO,788
MK,DO,1258
MK,GY,1217
MK,BH,3601
MK,LV,5631
MV,KI,3931
MV,FI,1825
MV,GR,5730
MV,FJ,5878
MV,IN,10212
MV,KR,2721
MV,BW,2818
MV,HU,1176
MV,ES,2152
MV,BR,826
MV,LS,1755
MV,MN,985
MV,MA,2079
MV,CM,1402
MV,EE,1966
MV,KG,2015
MV,BZ,3013
MV,LY,4291
MV,BA,1570
MV,ML,1207
MV,IT,6392
MV,LR,4821
MV,MM,1101
MV,AM,1206
MV,KZ,1694
MV,DK,3014
MV,GA,1301
MV,BB,2483
MV,MG,3904
MV,GN,1376
MV,ET,1661
MV,ME,3100
MV,CA,3106
MV,LA,1641
MV,DZ,1336
MV,BJ,2232
MV,MR,1459
MV,FR,1812
MV,HK,4146
MV,BI,1653
MV,EG,4647
MV,IS,3362
MV,LT,1508
MV,BE,1518
MV,JO,4600
MV,DE,3050
MV,CV,3859
MV,BS,2748
MV,CG,1466
MV,AL,996
MV,KE,5308
MV,KM,1208
MV,LC,9305
MV,MK,1996
MV,GH,2996
MV,GD,6314
MV,HT,1373
MV,MD,854
MV,CR,1214
MV,AU,10622
MV,GB,5293
MV,HR,1616
MV,BY,13622
MV,GQ,4197
MV,ID,4115
MV,CD,1300
MV,BF,894
MV,CY,14009
MV,JM,2948
MV,KH,2426
MV,JP,3105
MV,BG,1634
MV,CH,8215
MV,GE,1393
MV,CO,702
MV,CF,2245
MV,AG,5194
MV,LB,15175
MV,LU,3762
MV,GW,1049
MV,IE,4610
MV,DJ,3134
MV,GM,3316
MV,CI,1317
MV,CZ,3685
MV,AZ,2133
MV,MT,15058
MV,AO,1726
MV,AT,3419
MV,DO,1479
MV,GY,4500
MV,LV,2394
MV,HN,1284
LY,GR,1401
LY,CM,11949
LY,BA,1685
LY,LS,2459
LY,ES,899
LY,LB,14912
LY,KE,6317
LY,AE,8239
LY,BW,2631
LY,FR,1922
LY,BD,5718
LY,GQ,15191
LY,IT,2630
LY,LR,11458
LY,GA,10089
LY,KW,14972
LY,BF,11416
LY,DZ,14369
LY,JM,959
LY,AL,794
LY,GM,15990
LY,DJ,7180
LY,CG,6002
LY,BE,1312
LY,LC,1034
LY,CA,1645
LY,BY,1351
LY,HT,1280
LY,CH,2230
LY,ET,4965
LY,CD,2208
LY,BJ,6700
LY,GB,2232
LY,GH,21230
LY,CV,863
LY,CY,7882
LY,GW,11821
LY,BN,1314
LY,IE,2016
LY,LU,2373
LY,KM,1928
LY,DE,2841
LY,CI,12983
LY,AZ,736
LY,AO,1523
LY,AT,1133
LY,DO,750
LY,GY,771
LY,BH,6904
TT,FI,998
